date,value
2021/8/28,49
2021/8/29,43
2021/8/30,47
2021/8/31,31
2021/9/1,46
2021/9/2,46
2021/9/3,43
2021/9/4,48
2021/9/5,31
2021/9/6,43
2021/9/7,30
2021/9/8,34
2021/9/9,37
2021/9/10,41
2021/9/11,85
2021/9/12,74
2021/9/13,95
2021/9/14,76
2021/9/15,80
2021/9/16,101
2021/9/17,55
2021/9/18,77
2021/9/19,59
2021/9/20,81
2021/9/21,48
2021/9/22,57
2021/9/23,65
2021/9/24,52
2021/9/25,41
2021/9/26,52
2021/9/27,35
2021/9/28,44
2021/9/29,41
2021/9/30,53
2021/10/1,50
2021/10/2,41
2021/10/3,38
2021/10/4,41
2021/10/5,37
2021/10/6,36
2021/10/7,34
2021/10/8,37
2021/10/9,35
2021/10/10,32
2021/10/11,25
2021/10/12,37
2021/10/13,46
2021/10/14,27
2021/10/15,27
2021/10/16,28
2021/10/17,35
2021/10/18,36
2021/10/19,48
2021/10/20,46
2021/10/21,73
2021/10/22,59
2021/10/23,54
2021/10/24,46
2021/10/25,63
2021/10/26,76
2021/10/27,60
2021/10/28,79
2021/10/29,95
2021/10/30,84
2021/10/31,100
2021/11/1,75
2021/11/2,125
2021/11/3,131
2021/11/4,115
2021/11/5,81
2021/11/6,98
2021/11/7,114
2021/11/8,124
2021/11/9,85
2021/11/10,83
2021/11/11,115
2021/11/12,76
2021/11/13,112
2021/11/14,53
2021/11/15,30
2021/11/16,44
2021/11/17,55
2021/11/18,47
2021/11/19,38
2021/11/20,24
2021/11/21,62
2021/11/22,34
2021/11/23,37
2021/11/24,46
2021/11/25,30
2021/11/26,36
2021/11/27,44
2021/11/28,59
2021/11/29,57
2021/11/30,124
2021/12/1,85
2021/12/2,120
2021/12/3,105
2021/12/4,78
2021/12/5,101
2021/12/6,99
2021/12/7,92
2021/12/8,115
2021/12/9,96
2021/12/10,89
2021/12/11,74
2021/12/12,92
2021/12/13,89
2021/12/14,93
2021/12/15,93
2021/12/16,99
2021/12/17,133
2021/12/18,129
2021/12/19,130
2021/12/20,47
2021/12/21,139
2021/12/22,117
2021/12/23,110
2021/12/24,155
2021/12/25,69
2021/12/26,215
2021/12/27,382
2021/12/28,205
2021/12/29,232
2021/12/30,220
2021/12/31,256
2022/1/1,236
2022/1/2,84
2022/1/3,325
2022/1/4,157
2022/1/5,198
2022/1/6,193
2022/1/7,204
